value,entity_type,description
39ead6055306739ab969a3531bde2050f556b05e500894b3cda120178f2773be,file,XMRig cryptocurrency miner
76121de43d2ded66b42ce138988631be7ee228e9f0ed7da70fec83ea8e2a5fbe,file,XMRig cryptocurrency miner configuration file
e7da21fca8f27b9d19ec90d83b4d794e5a449578eef40e53db84f718d22493a8,file,XMRig cryptocurrency miner downloader shell script
45c9578bbceb2ce2b0f10133d2f3f708e78c8b7eb3c52ad69d686e822f9aa65f,file,ICS VPN post exploitation indicator
47ff0ae9220a09bfad2a2fb1e2fa2c8ffe5e9cb0466646e2a940ac2e0cf55d04,file,ICS VPN post exploitation indicator
4cba272d83f6ff353eb05e117a1057699200a996d483ca56fa189e9eaa6bb56c,file,ICS VPN post exploitation indicator
816754f6eaf72d2e9c69fe09dcbe50576f7a052a1a450c2a19f01f57a6e13c17,file,ICS VPN post exploitation indicator
c26da19e17423ce4cb4c8c47ebc61d009e77fc1ac4e87ce548cf25b8e4f4dc28,file,ICS VPN post exploitation indicator
c7ddd58dcb7d9e752157302d516de5492a70be30099c2f806cb15db49d466026,file,ICS VPN post exploitation indicator
d14122fa7883b89747f273c44b1f71b81669a088764e97256f97b4b20d945ed0,file,ICS VPN post exploitation indicator
6f684f3a8841d5665d083dcf62e67b19e141d845f6c13ee8ba0b6ccdec591a01,file,ICS VPN post exploitation indicator
a4e1b07bb8d6685755feca89899d9ead490efa9a6b6ccc00af6aaea071549960,file,ICS VPN post exploitation indicator
ef792687b8bcd3c03bed4b09c4722bba921536802afe01f7cdb01cc7c3c60815,file,ICS VPN post exploitation indicator
76902d101997df43cd6d3ac10470314a82cb73fa91d212b97c8f210d1fa8271f,file,ICS VPN post exploitation indicator
e47b86b8df43c8c1898abef15b8b7feffe533ae4e1a09e7294dd95f752b0fbb2,file,ICS VPN post exploitation indicator
73657c062a7cc50a3d51853ec4df904bcb291fdc9cdd08eecaecb78826eb49b6,file,ICS VPN post exploitation indicator
030eb56e155fb01d7b190866aaa8b3128f935afd0b7a7b2178dc8e2eb84228b0,file,ICS VPN post exploitation indicator
abode-dashboard-media.s3.ap-south-1.amazonaws.com,hostname,ICS VPN post exploitation indicator
archivevalley-media.s3.amazonaws.com,hostname,ICS VPN post exploitation indicator
blooming.s3.amazonaws.com,hostname,ICS VPN post exploitation indicator
shapefiles.fews.net.s3.amazonaws.com,hostname,ICS VPN post exploitation indicator
blaze-uk.s3.amazonaws.com,hostname,ICS VPN post exploitation indicator
book4timepublic.s3.amazonaws.com,hostname,ICS VPN post exploitation indicator
auto.c3pool.org,hostname,XMRig cryptocurrency mining pool hostname
192.252.183.116,ipaddress,Observed hosting XMRig cryptocurrency miner files